animeTitle	School Days: Magical Heart Kokoro-chan
animeType	OVA
animeNumEpisode	1
releaseDate	2008-03-26 00:00:00
endDate	
animeNumMembers	40811
animeScore	5.58
animeUsers	22827
animeRank	10139
animePopularity	2772
animeDescription	"Originally an April's Fool in 2007, this one episode OVA is a spin-off of the School Days game by 0verflow, and shows Kokoro Katsura, the little sister of one of the main characters, from her other side. A mahou shoujo out to save the world, or something like that.

(Source: AniDB)"
animeRelated	['School Days']
animeCharacters	['Katsura, Kotonoha', 'Itou, Makoto', 'Saionji, Sekai', 'Katsura, Kokoro', 'Kiyoura, Setsuna', 'Sawanaga, Taisuke', 'Kanroji, Nanami', 'Kuroda, Hikari', 'Saionji, Youko']
animeVoices	['Okajima, Tae', 'Hirakawa, Daisuke', 'Kawaragi, Shiho', 'Ashiro, Megu', 'Imoto, Kei', 'Matsumoto, Yoshirou', 'Takahashi, Chiaki', 'Tanaka, Ryouko']
animeStaff	[['Motonaga, Keitarou', 'Director, Storyboard'], ['Ebina, Yasunori', 'Sound Director'], ['Uezu, Makoto', 'Series Composition, Screenplay'], ['Gotou, Junji', 'Chief Animation Director, Character Design']]
