animeTitle	Bishoujo Senshi Sailor Moon Memorial
animeType	OVA
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	5460
animeRank	
animePopularity	4438
animeDescription	A summary of each season of the Sailor Moon franchise, narrated by various Sailor Moon characters.
animeRelated	['Bishoujo Senshi Sailor Moon', 'Bishoujo Senshi Sailor Moon S', 'Bishoujo Senshi Sailor Moon R', 'Bishoujo Senshi Sailor Moon: Sailor Stars', 'Bishoujo Senshi Sailor Moon SuperS']
animeCharacters	['Tsukino, Usagi', 'Hino, Rei', 'Kino, Makoto', 'Aino, Minako', 'Mizuno, Ami', 'Chiba, Mamoru', 'Chibiusa', 'Luna', 'Tomoe, Hotaru', 'Tenou, Haruka']
animeVoices	['Mitsuishi, Kotono', 'Tomizawa, Michie', 'Shinohara, Emi', 'Fukami, Rica', 'Hisakawa, Aya', 'Furuya, Toru', 'Araki, Kae', 'Han, Keiko', 'Minaguchi, Yuko', 'Ogata, Megumi']
animeStaff	[['Takeuchi, Naoko', 'Original Creator']]
