animeTitle	b'Rebirth Moon Divergence'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.0
animeUsers	165
animeRank	
animePopularity	
animeDescription	"b'Ires and his father, Leglight are peddlers. Near Gramnoa,they met a genius ""tempest"", Yuan. Yuan thinks they are bandits, and began to fight. Leglight wields his mystic weapon, and beats him back. However, right after that, he is swallowed into black light leaving the weapon, a ""device"", and a message, \xe2\x80\x9cVisit Oldman in Gramnoa\xe2\x80\x9d. To look for his father, he leaves for Gramnoa. \n\n(Source: Animenfo)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
