animeTitle	Future Card Buddyfight Hundred
animeType	TV
animeNumEpisode	50
releaseDate	2015-04-11 00:00:00
endDate	2016-03-26 00:00:00
animeNumMembers	
animeScore	6.65
animeUsers	2117
animeRank	
animePopularity	7221
animeDescription	"While Tasuku is off training and getting rest in the world of the monsters, the Buddy Police sees the need to deputize some of the champions to help protect the Earth. Gao, Tetsuya, and Zanya Kisaragi are among those deputized, and it's just in time. A new enemy arrives, Ikazuchi, with the deadly 100 demons, all rogue monsters. Now the new trainees and the Great 8 monsters must fight to protect Earth from being consumed by these new rogues.

(Source: ANN)"
animeRelated	['Future Card Buddyfight', 'Future Card Buddyfight Triple D']
animeCharacters	['Ryuuenji, Tasuku', 'Mikado, Gaou', 'Drumbunker Dragon', 'Jackknife Dragon', 'Kurodake, Tetsuya', 'Aragami, Rouga', 'Hyouryuu, Kiri', 'Demon Lord Asumodai', 'Kodou, Noboru', 'Kisaragi, Zanya']
animeVoices	['Saitou, Souma', 'Terakawa, Aimi']
animeStaff	[['Ikeda, Shigetaka', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Nakajuu, Shunsuke', 'Episode Director, Storyboard'], ['Takahashi, Hideya', 'Storyboard']]
