animeTitle	Shoubushi Densetsu Tetsuya
animeType	TV
animeNumEpisode	20
releaseDate	2000-10-07 00:00:00
endDate	2001-03-24 00:00:00
animeNumMembers	8069
animeScore	7.53
animeUsers	2682
animeRank	1517
animePopularity	5787
animeDescription	"In the year 1947, the people of Shinjuku are down on their luck. With little money to buy food or necessities, some resort to gambling in order to survive. Traveling Tetsuya chooses to spend his time at Mahjong parlors where he is wiping the floor clean with his adversaries. However, when Tetsuya meets the intensely skilled Boushu-san, he realizes that his skills are still lacking.

(Source: ANN)"
animeRelated	['Tetsuya: Jansei to Yobareta Otoko']
animeCharacters	['Asada, Tetsuya', 'Boshu', 'Innami, Zenichi', 'Danchi', 'Lisa', 'Kenzaki, Ataru', 'Yuu']
animeVoices	['Okiayu, Ryoutarou', 'Otsuka, Chikao', 'Totani, Kouji', 'Takagi, Wataru', 'Hirata, Hiroaki']
animeStaff	[['Nishizawa, Nobutaka', 'Director'], ['Suga, Yoshiyuki', 'Script, Series Composition'], ['Wada, Akiko', 'Theme Song Performance'], ['Haishima, Kuniaki', 'Music']]
