animeTitle	Kyoto Animation: Meiji-hen
animeType	Special
animeNumEpisode	1
releaseDate	2021-07-08 00:00:00
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	677
animeRank	
animePopularity	10244
animeDescription	A CM themed around the light novel Nijuuseiki Denki Mokuroku.
animeRelated	['Kyoto Animation: Ajisai-hen', 'Kyoto Animation: Hoshi-hen', 'Kyoto Animation: Hana-hen', 'Kyoto Animation: Sora-hen', 'Kyoto Animation: Ikitaku Naru Omise-hen', 'Kyoto Animation: Hassou-hen', 'Kyoto Animation: Megane-hen', 'Kyoto Animation: Kasa-hen', 'Kyoto Animation: Suiei-hen', 'Kyoto Animation: Souzou-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
