animeTitle	Ai Zai Xiyuan Qian
animeType	ONA
animeNumEpisode	12
releaseDate	2019-07-13 00:00:00
endDate	2019-08-31 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	133
animeRank	
animePopularity	10011
animeDescription	"Some aliens come to the Earth and one of them, become Babilonia's King, building the Babel Tower in order to come back to his world. But, due to technical failures his spaceship explodes, killing the main female character. The male lead and his troop stay in the Earth to find a way to come back. The female main character reincarnates 2500 years ago and met with him one more time. Then, what will happen now? 

(Source: tvtime.com)"
animeRelated	['Ai Zai Xiyuan Qian 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
