animeTitle	Prison School: Mad Wax
animeType	OVA
animeNumEpisode	1
releaseDate	2016-03-04 00:00:00
endDate	
animeNumMembers	125995
animeScore	7.41
animeUsers	74553
animeRank	1926
animePopularity	1353
animeDescription	"The OVA featured the previously unanimated ""Mad Wax"" arc from the manga.

Bundled with a limited edition of the manga's 20th volume."
animeRelated	['Prison School']
animeCharacters	['Morokuzu, Takehito', 'Fujino, Kiyoshi', 'Nezu, Jouji', 'Andou, Reiji', 'Wakamoto, Shingo', 'Midorikawa, Hana', 'Shiraki, Meiko', 'Kurihara, Mari', 'Kurihara, Chiyo', 'Bettou, Risa']
animeVoices	['Konishi, Katsuyuki', 'Kamiya, Hiroshi', 'Namikawa, Daisuke', 'Okitsu, Kazuyuki', 'Suzumura, Kenichi', 'Hanazawa, Kana', 'Itou, Shizuka', 'Ohara, Sayaka', 'Hashimoto, Chinami']
animeStaff	[['Hiramoto, Akira', 'Original Creator'], ['Taniguchi, Junichirou', 'Chief Animation Director, Character Design'], ['Yoshiki, Masayuki', 'Key Animation']]
