animeTitle	b'Injuu Kateikyoushi'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	370
animeRank	
animePopularity	
animeDescription	b'Seventy years ago, several mysterious murders occurred in Tokyo, Japan. Young, beautiful women were found dead, their bodies dried up like ancient mummies. Now young women are dying the same way and Miho, a 19 year-old college student discovers that a weird stranger is stalking her. While her best friend Azusa, is busy seducing their professor, she discovers he is not human at all, but a horrible tentacle-endowed monster! Now that his dark secret is revealed, both girls are on the run for their life, but can she escape from the hideous monster disguised as a mild-mannered professor? '
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
