animeTitle	Wangpai Yushi
animeType	ONA
animeNumEpisode	39
releaseDate	2014-06-27 00:00:00
endDate	2016-01-20 00:00:00
animeNumMembers	
animeScore	6.65
animeUsers	457
animeRank	
animePopularity	8238
animeDescription	"In a world where yin and yang has lost its balance and day merged with night, humans and monsters learn to coexist. Our hardworking censorates do their best to fight the ‘untamed’ monsters in this joyful story.

(Source: EIH Scans)"
animeRelated	['Wangpai Yushi', 'Wangpai Yushi Di 0 Ji']
animeCharacters	['Yan, Ye', 'Huang, Xiaoyan', 'Headmaster']
animeVoices	[]
animeStaff	[['Li, Haoling', 'Director'], ['Tong, Yao', 'Original Creator']]
