animeTitle	Knight of Erin
animeType	OVA
animeNumEpisode	4
releaseDate	2020-10-30 00:00:00
endDate	2021-03-26 00:00:00
animeNumMembers	
animeScore	6.55
animeUsers	2038
animeRank	
animePopularity	7170
animeDescription	"Erin is a mercenary who was once on the brink of death, but saved by Nighthawk a sword spirit. Since then they have been traveling together, this is the story of these two.

(Source: Hanime)"
animeRelated	[]
animeCharacters	['Erin']
animeVoices	[]
animeStaff	[]
