animeTitle	DNA²
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	18225
animeRank	
animePopularity	2873
animeDescription	"Karin, a DNA operator from the future, is on a mission to change the course of History by stopping Junta Momonari from becoming the Mega-Playboy who fathered 100 children and led to the overpopulation of the world. But Junta is no playboy; in fact he is allergic to girls. But when Karin shoots him with the wrong DNA-altering bullet, he starts sporadically becoming the Mega-Playboy capable of charming any woman. Karin must try to restore the situation to normal before the change to Mega-Playboy becomes irreversible. 

(Source: ANN)"
animeRelated	['DNA²: Dokoka de Nakushita Aitsu no Aitsu', 'DNA² OVA']
animeCharacters	['Aoi, Karin', 'Momonari, Junta', 'Kurimoto, Ami', 'Saeki, Tomoko', 'Takanashi, Kotomi', 'Kawasaki, Lulara', 'Momonari, Chiyo', 'Yokomori', 'Sugashita, Ryuji', 'Oharu']
animeVoices	['Tominaga, Miina', 'Nanba, Keiichi', 'Kasahara, Hiroko', 'Hayashibara, Megumi', 'Shiina, Hekiru', 'Tamagawa, Sakiko', 'Maruyama, Hiroko', 'Oobayashi, Ryuusuke', 'Koyasu, Takehito', 'Yamada, Eiko']
animeStaff	[['Maruyama, Masao', 'Producer'], ['Shiba, Shigeharu', 'Sound Director'], ['Tanaka, Hiroyuki', 'Episode Director'], ['Odaka, Yoshinori', 'Episode Director']]
