animeTitle	Oval x Over
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	734
animeRank	
animePopularity	9863
animeDescription	"A promotional video for the Indy Racing League Bridgestone Indy Japan 300.

A thrilling race. Three drivers with their own stories. A narrow line between victory and defeat. Who will be the champion? "
animeRelated	[]
animeCharacters	['Arth', 'Bern', 'Glavis']
animeVoices	['Morikawa, Toshiyuki', 'Iwata, Mitsuo', 'Inoue, Kikuko']
animeStaff	[['Imaishi, Hiroyuki', 'Director, Storyboard, Animation Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Ike, Yoshihiro', 'Music'], ['Nishio, Tetsuya', 'Key Animation']]
