animeTitle	Muhyo to Rouji no Mahouritsu Soudan Jimusho
animeType	TV
animeNumEpisode	12
releaseDate	2018-08-03 00:00:00
endDate	2018-10-19 00:00:00
animeNumMembers	45564
animeScore	6.71
animeUsers	10844
animeRank	5031
animePopularity	2634
animeDescription	"Are you a victim of unwanted spirit possession? Is there a ghost you need sent up and away...or down to burn for all eternity? If the answer is yes, then you need Muhyo and Roji, experts in magic law. Serving justice to evil spirits is their specialty.

(Source: VIZ Media)"
animeRelated	['Muhyo to Rouji no Mahouritsu Soudan Jimusho', 'Hotohashiru', 'Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season']
animeCharacters	['Muhyou, Tooru', 'Kusano, Jirou', 'Takenouchi, Nana', 'Imai, Reiko', 'Abiko, Yuu', 'Kurotori, Rio', 'Himukai, Youichi', 'Madoka, Soratsugu', 'Satou, Kenji', 'Fujiwara']
animeVoices	['Murase, Ayumu', 'Hayashi, Yuu', 'Saiga, Mitsuki', 'Kawamura, Rie', 'Akesaka, Satomi', 'Kakihara, Tetsuya', 'Kamiya, Hiroshi', 'Amasaki, Kouhei', 'Ikeda, Kyousuke']
animeStaff	[['Kondou, Nobuhiro', 'Director'], ['ORESAMA', 'Theme Song Performance'], ['SCREEN mode', 'Theme Song Performance'], ['Kawasaki, Ryou', 'Music']]
