animeTitle	b'Seikai no Senki III'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.68
animeUsers	8297
animeRank	
animePopularity	
animeDescription	"b'Jinto and Lafiel were riding on a light-armed transport ship ""Bokbrusue"" and navigating at the planar space of the Hyde System. This was for Jinto to govern the Hyde System, which returned to Empirial rule after the Union retreated, officially as an Earl. However, the government of Martin, Jinto`s motherland, resisted obstinately against the Empirial rule. On the other side, ""Daiichi Jyuurin Sentai"" (the First Devastation Fleet), formed with the new ship type ""Attack Vessel"", travelled to the Hyde System for drilling practices, but... \n\n(Source: ANN)'"
animeRelated	[b'Seikai no Senki', b'Seikai no Senki II']
animeCharacters	[b'Abriel, Lafiel', b'Linn, Jinto', b'Naurh, Ekuryua', b'Tirusec, Samson', b'Sobaash']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagaoka, Yasuchika\n\nDirector\n\n', b'\nKobayashi, Katsuyoshi\n\nSound Director\n\n', b'\nMutou, Yasuyuki\n\nScript\n\n', b'\nWakakusa, Kei\n\nTheme Song Composition\n\n']
