animeTitle	B'T X
animeType	TV
animeNumEpisode	25
releaseDate	1996-04-06 00:00:00
endDate	1996-09-21 00:00:00
animeNumMembers	10333
animeScore	7.03
animeUsers	4410
animeRank	3668
animePopularity	5238
animeDescription	"Teppei is going to visit his older brother Kotaro Takamiya during a scientific conference after training with a mysterious woman named Karen for the past 11 years. However his plans for a family reunion become stalled when a woman named Aramis kills everyone in the conference to kidnap Kotaro. Teppei on the way to save his brother encounters a broken mechanical horse called B't X who revives thanks to Teppei's blood and is now his aide to save his brother from the mysterious Machine Empire. 
"
animeRelated	"[""B'T X"", ""B'T X Neo""]"
animeCharacters	"['Takamiya, Teppei', ""B'T X"", 'Lafine, Fou', 'Karen', 'Misha', 'Ron', 'Hokuto', 'Juggler', 'Takamiya, Koutarou', 'Bem']"
animeVoices	['Hiyama, Nobuyuki', 'Horikawa, Jin', 'Ichijo, Kazuya', 'Ogata, Megumi', 'Orikasa, Ai', 'Fujiwara, Keiji', 'Sakuta, Osamu', 'Futamata, Issei', 'Sasaki, Nozomu', 'Umezu, Hideyuki']
animeStaff	[['Hamatsu, Mamoru', 'Director'], ['Takahashi, Yukio', 'Episode Director, Storyboard'], ['Vale, Eric', 'Script, ADR Director'], ['Hirano, Yasushi', 'Script']]
