animeTitle	Lupin the IIIrd: Mine Fujiko no Uso
animeType	Movie
animeNumEpisode	1
releaseDate	2019-05-31 00:00:00
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	3577
animeRank	
animePopularity	5261
animeDescription	"Fujiko Mine is on the run with Gene, a boy who knows the location of a stash of $500 million dollars that his deceased father embezzled from the company Godfrey Mining. The boy is targeted by Bincam, an assassin hired by Godfrey Mining with a mysterious ability that allows him to bend a person’s will.

(Source: ANN)"
animeRelated	['Lupin III', 'Lupin the IIIrd: Chikemuri no Ishikawa Goemon']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Carla', 'Lark', 'Randy', 'Godfrey', 'Binkam', 'Jean']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Asano, Mayumi', 'Sato, Biichi', 'Obara, Masato', 'Hara, Yasuyoshi', 'Miyano, Mamoru', 'Hanba, Tomoe']
animeStaff	[['Koike, Takeshi', 'Director, Episode Director, Character Design'], ['Takahashi, Yuuya', 'Script'], ['Monkey Punch', 'Original Creator'], ['Hori, Takafumi', 'Key Animation']]
