animeTitle	b'Ajin OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	16132
animeRank	
animePopularity	
animeDescription	b'New episodes bundled with the limited edition eighth and ninth manga volumes.'
animeRelated	[b'Ajin', b'Ajin 2nd Season']
animeCharacters	[b'Nagai, Kei', b'Nakamura, Shinya', b'Satou', b'Shimomura, Izumi', b'Nakano, Kou', b'Tosaki, Yuu', b'Tanaka, Kouji', b'Yuusuke', b'Nekozawa']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nNogawa, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSeshita, Hiroyuki\n\nDirector\n\n', b'\nAndou, Hiroaki\n\nDirector\n\n', b'\nMiyano, Mamoru\n\nTheme Song Performance\n\n', b'\nflumpool\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Performance\n\n']
