animeTitle	Hello Kitty no Shirayuki-hime
animeType	OVA
animeNumEpisode	1
releaseDate	1993-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	198
animeRank	
animePopularity	12674
animeDescription	Adaption of Grimm Brothers Snow White fairytale with the famous cat as the heroine. 
animeRelated	['Hello Kitty no Shirayuki-hime (2001)']
animeCharacters	['White, Kitty']
animeVoices	['Hayashibara, Megumi']
animeStaff	[['Ishikawa, Yasuo', 'Director'], ['Hoshiyama, Hiroyuki', 'Screenplay'], ['Nagashima, Youko', 'Animation Director'], ['Isaka, Junko', 'Art Director']]
