animeTitle	b'Tonari no Seki-kun OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	21081
animeRank	
animePopularity	
animeDescription	b'OVA of Tonari no Seki-kun bundled with the fifth manga volume.'
animeRelated	[b'Tonari no Seki-kun']
animeCharacters	[b'Seki, Toshinari', b'Yokoi, Rumi', b'Tani']
animeVoices	[b'\nShimono, Hiro\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nYusa, Kouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMutou, Yuuji\n\nDirector\n\n', b'\nSasaki, Shinobu\n\nEpisode Director, Storyboard\n\n', b'\nMorishige, Takuma\n\nOriginal Creator\n\n', b'\nOotake, Masae\n\nChief Animation Director, Character Design\n\n']
