animeTitle	Slayers Premium
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	8754
animeRank	
animePopularity	4211
animeDescription	"Lina and Gourry travel to a seaside town named Acassi, where octopus tentacle is a delicacy. However, the octopus meat carries a curse that dooms the eater to only speak Takogo (octopus language). Amelia, Zelgadiss, and Xelloss all show up, and the main four characters (Lina, Gourry, Ameria, Zelgadiss) get cursed. The octopi enlist the power of a mazoku to get rid of the humans once and for all. The white sorceress Ruma must learn the cure to the curse from her long-lost master in order to save the town. 

(Source: ANN)"
animeRelated	['Slayers Premium', 'Slayers Next', 'Slayers Try']
animeCharacters	['Inverse, Lina', 'Graywords, Zelgadis', 'Gabriev, Gourry', 'Saillune, Amelia Wil Tesla', 'Xellos', 'Saillune, Gracia Ul Naga', 'Intelligent Octopus', 'Ruuma']
animeVoices	['Hayashibara, Megumi', 'Midorikawa, Hikaru', 'Matsumoto, Yasunori', 'Suzuki, Masami', 'Ishida, Akira', 'Kawamura, Maria', 'Sakurai, Takahiro', 'Shiratori, Yuri']
animeStaff	[['Satou, Junichi', 'Director, Sound Director, Script'], ['Hayashibara, Megumi', 'Theme Song Performance'], ['Kanzaka, Hajime', 'Creator'], ['Oizaki, Fumitoshi', 'Key Animation']]
