animeTitle	Mameshiba Bangai-hen
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.61
animeUsers	147
animeRank	
animePopularity	13439
animeDescription	"Assorted Mameshiba shorts that are not a part of the regular episodes nor new series or collaborations.

Includes:
Mamerry Christmas-hen (Christmas caroling, claymation)
5-Shuunen Party-hen (5th Mameversary, claymation)
Sakamichi Korokoro-hen (Mameshiba rolling down a hill)
Kansatsu-hen (Mameshiba being looked at under a magnifying glass)
Music Clip (a Mameshiba music video promoting the official YouTube channel launching)"
animeRelated	['Mameshiba']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
