animeTitle	Keitai Shoujo
animeType	ONA
animeNumEpisode	6
releaseDate	2007-03-20 00:00:00
endDate	2007-04-17 00:00:00
animeNumMembers	
animeScore	5.31
animeUsers	1873
animeRank	
animePopularity	6977
animeDescription	"This is about Hiro Aida and his friends. Their daily life at school and first romantic encounters with all the fun and confusion. All these people are connected to each other through cell phone messages.

The anime has 5 regular episodes and 1 Epilogue episode."
animeRelated	['Keitai Shoujo: Triangle Spirits']
animeCharacters	['Tomoe, Sayo', 'Yamada, Ayano', 'Fujimiya, Momoka', 'Gotou, Miya', 'Aida, Hiro', 'Mishima, Ichiru', 'Rin', 'Kotaka, Keisuke']
animeVoices	['Takahashi, Mikako', 'Satou, Rina', 'Nazuka, Kaori', 'Ueda, Kana', 'Ishida, Akira', 'Koshimizu, Ami', 'Nanao, Haruhi', 'Suzuki, Chihiro']
animeStaff	[['Yabuki, Tsutomu', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Satou, Kazuharu', 'Script'], ['Koshimizu, Ami', 'Theme Song Performance']]
