animeTitle	Uchuu Senshi Baldios
animeType	TV
animeNumEpisode	34
releaseDate	1980-06-30 00:00:00
endDate	1981-01-25 00:00:00
animeNumMembers	1864
animeScore	6.4
animeUsers	370
animeRank	6708
animePopularity	9620
animeDescription	"After polluting their own planet beyond repair, a race of evil aliens target earth as their next home. Now it is up to a lone outcast and his robotic spacecraft, Baldios, to defend earth. But, first he must convince the distrusting human population of the impending danger.

(Source: ANN)"
animeRelated	['Uchuu Senshi Baldios (Movie)']
animeCharacters	['Regan, Marine', 'Aphrodia, Roza', 'Hoshino, Jemmy', 'Oliver, Jack', 'Hokuto, Raita', 'Narrator', 'Torinomias', 'Quinstein, Ella', 'Degras']
animeVoices	['Shiozawa, Kaneto', 'Jinbo, Naomi', 'Yokozawa, Keiko', 'Suzuki, Kiyonobu', 'Genda, Tesshou', 'Ishimori, Takkou', 'Kamiya, Akira']
animeStaff	[['Yuyama, Kunihiko', 'Episode Director, Storyboard'], ['Shudou, Takeshi', 'Script'], ['Satou, Gen', 'Storyboard, Mechanical Design'], ['Yotsuji, Takao', 'Storyboard']]
