animeTitle	B'T X Neo
animeType	OVA
animeNumEpisode	14
releaseDate	1997-08-21 00:00:00
endDate	1998-01-21 00:00:00
animeNumMembers	
animeScore	7.13
animeUsers	2171
animeRank	
animePopularity	7324
animeDescription	"Continuation of Teppei's journey with B't X to rescue his brother Kotaro Takamiya from the Machine Empire. The OAV series picks off from the TV series from the point where Hokuto successfully saves both Teppei and B't X and makes B't X far more powerful than before.

(Source: ANN)"
animeRelated	"[""B'T X""]"
animeCharacters	"['Takamiya, Teppei', ""B'T X"", 'Lafine, Fou', 'Misha', 'Karen', 'Hokuto', 'Ron', 'Aramis', 'Takamiya, Koutarou', 'Juggler']"
animeVoices	['Hiyama, Nobuyuki', 'Horikawa, Jin', 'Ichijo, Kazuya', 'Orikasa, Ai', 'Ogata, Megumi', 'Sakuta, Osamu', 'Fujiwara, Keiji', 'Yuuya, Atsuko', 'Sasaki, Nozomu', 'Futamata, Issei']
animeStaff	[['Komura, Toshiaki', 'Episode Director, Storyboard'], ['Kurumada, Masami', 'Original Creator'], ['Seyama, Takeshi', 'Editing'], ['Suga, Yoshiyuki', 'Series Composition']]
