animeTitle	Happy Birthday: Inochi Kagayaku Toki
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	1166
animeRank	
animePopularity	8146
animeDescription	After being abused by her mother physically and mentally Asuka gets taken in by her grandparents. Slowly she learns her own worth as a human being and overcomes many obstacles. 
animeRelated	[]
animeCharacters	['Fujiwara, Asuka', 'Shuzo', 'Kanazawa, Junko', 'Mr. Sanada', 'Hamamoto, Akiko', 'Masako', 'Kobayashi, Daisuke', 'Fujiwara, Naoto', 'Fujiwara, Shizuyo', 'Hanamura, Megumi']
animeVoices	['Sakuma, Nobuko', 'Kojima, Toshihiko', 'Kawata, Taeko', 'Kawakami, Tomoko', 'Tani, Ikuko', 'Sakurai, Toshiharu', 'Okano, Kousuke', 'Tajima, Reiko', 'Masuda, Yuki']
animeStaff	[['Dezaki, Satoshi', 'Director'], ['Suzuki, Mitsuru', 'Key Animation'], ['Takahashi, Atsuko', 'In-Between Animation'], ['Nakajima, Yuuki', 'Music']]
