animeTitle	Jungle Taitei Leo: Hon-o-ji
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	196
animeRank	
animePopularity	12379
animeDescription	"This is one of a number of original animated short films made for viewing at Tezuka Osamu World's Tezuka Osamu Animation Theater in Kyoto.

(Source: ANN)"
animeRelated	['Jungle Taitei']
animeCharacters	['Leo', 'Bubu', 'Tommy', 'Paora', 'Coco']
animeVoices	['Ishimura, Tomoko', 'Aizawa, Masaki', 'Matsuo, Ginzou', 'Ootani, Ikue', 'Nishimura, Tomohiro']
animeStaff	[['Okada, Kazuo', 'Art Director']]
