animeTitle	Rescue Academia
animeType	TV
animeNumEpisode	Unknown
releaseDate	2021-01-01 00:00:00
endDate	
animeNumMembers	1670
animeScore	
animeUsers	
animeRank	
animePopularity	9944
animeDescription	"The story will be set in the city of Minamisouma in Fukushima prefecture, and will center around a down-and-out protagonist who gets to know a robot while working rescue efforts. It will depict the friendship and growth of a group of children alongside the robot. Local traditional crafts such as Ouborisoumayaki pottery will appear in the story. Fukushima Gainax is producing the anime to promote Fukushima's ""Innovation Coast"" initiative that aims to revive industry and tourism in the region after the 2011 earthquake and tsunami.

(Source: ANN) 

Set to air in 2021."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
