animeTitle	AIKa
animeType	OVA
animeNumEpisode	7
releaseDate	1997-04-25 00:00:00
endDate	1999-04-25 00:00:00
animeNumMembers	
animeScore	5.93
animeUsers	12493
animeRank	
animePopularity	3336
animeDescription	A catastrophic earthquake has left Tokyo, and most of the Earth for that matter, under the sea. Aika is a salvager who retrieves various remains from the watery ruins. When Aika accepts the dangerous mission of locating and obtaining the mysterious Lagu, she discovers that she's not the only one after it. 
animeRelated	['AIKa: Special Trial', 'AIKa Zero']
animeCharacters	['Sumeragi, Aika', 'Alexymetalia, Maypia', 'Aida, Rion', 'Turbulence, Gust', 'Petoriyacowa, Rie', 'Bandora, B.A.', 'Etsuko, Nina', 'Hagen, Neena', 'Shuntaro, Michikusa', 'Hagen, Rudolf']
animeVoices	['Sakuma, Rei', 'Tamagawa, Sakiko', 'Konishi, Hiroko', 'Kosugi, Juurouta', 'Ootani, Ikue', 'Kyouda, Hisako', 'Okamura, Akemi', 'Tanaka, Atsuko', 'Onosaka, Masaya', 'Shiozawa, Kaneto']
animeStaff	[['Nishijima, Katsuhiko', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Terahigashi, Katsumi', 'Episode Director, Storyboard, Screenplay'], ['Mink', 'Theme Song Performance']]
