animeTitle	b'Fire Bird'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	244
animeRank	
animePopularity	
animeDescription	"b'A music video produced by Tezuka Productions for the title track ""Fire Bird"" performed by Miyavi.'"
animeRelated	[b'Hi no Tori']
animeCharacters	[b'The Phoenix']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nfantasista utamaro\n\nDirector\n\n', b'\nMiyavi\n\nMusic\n\n', b'\nTatamitani, Tetsuya\n\nSpecial Effects\n\n']
