animeTitle	Seitokaichou ni Chuukoku
animeType	OVA
animeNumEpisode	2
releaseDate	2009-11-27 00:00:00
endDate	2010-04-18 00:00:00
animeNumMembers	
animeScore	6.97
animeUsers	23780
animeRank	
animePopularity	2666
animeDescription	"Even as he tries to keep the student council president out of trouble, Vice President Chiga-kun finds himself being drawn to the president's strength and power. Chiga-kun wonders how he, being such an intelligent individual, can be so unwillingly taken with a boy who is so country and simple...

(Source: Aarinfantasy)"
animeRelated	['Seitokaichou ni Chuukoku']
animeCharacters	['Chiga, Yasuhiro', 'Kokusai, Yuuzou', 'Kondou, Musashi', 'Naoko, Akutsu']
animeVoices	['Sugita, Tomokazu', 'Toriumi, Kousuke', 'Kishio, Daisuke', 'Koyasu, Takehito']
animeStaff	[['Kawakubo, Keiji', 'Director'], ['Monchi, Kaori', 'Original Creator'], ['Abe, Nobuyuki', 'Sound Manager'], ['Suzuki, Eri', 'Color Design']]
