animeTitle	Seikimatsu Leader Gaiden Takeshi!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14524
animeDescription	"Based on the manga by Shimabukuro Mitsutoshi that ran in Shounen Jump.

(Source: AniDB)"
animeRelated	['Seikimatsu Leader Gaiden Takeshi!']
animeCharacters	['Takeshi', 'Kawakami, Nana', 'Kimura, Moukou', 'Imai, Mitsuru', 'Ichikawa, Hiro', 'Kandore', 'Andore', 'Satou, Kaori', 'Hiroshi']
animeVoices	['Cho', 'Koorogi, Satomi', 'Takagi, Wataru', 'Konishi, Hiroko', 'Iwatsubo, Rie', 'Yanada, Kiyoyuki', 'Ootomo, Ryuuzaburou', 'Nanao, Haruhi', 'Inoue, Kazuhiko']
animeStaff	[['Daichi, Akitarou', 'Director, Screenplay'], ['Tanaka, Kazuya', 'Sound Director'], ['Shimabukuro, Mitsutoshi', 'Original Creator']]
