animeTitle	b'Lupin III'
animeType	b'TV'
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	24554
animeRank	
animePopularity	
animeDescription	"b""Ars\xc3\xa8ne Lupin III is the grandson of world-famous thief Ars\xc3\xa8ne Lupin, and he's living up to his grandfather's memory as a high-profile thief himself. Due to his infamy, Lupin III attracts the attention of the persistent Inspector Zenigata of the ICPO, as well as rival criminals. Lupin III's criminal lifestyle even seeps into his love life. The main woman in Lupin III's world is femme fatale Fujiko Mine, who Lupin III can never tell is working with or against him. Follow Lupin and his gunman partner Daisuke Jigen on their quest to own the world\xef\xbc\x8dor at least the valuable bits!"""
animeRelated	"[b'Lupin III', b'Lupin III: Alcatraz Connection', b'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', b'Lupin III: Bye Bye Liberty - Kiki Ippatsu!', b'Lupin III: Dead or Alive', b'Lupin III: Moeyo Zantetsuken!', b'Lupin III: Episode 0 ""First Contact""', b'Lupin III: Kutabare! Nostradamus', b'Lupin III: Russia yori Ai wo Komete', b'Lupin III: Hemingway Paper no Nazo', b'Lupin III: $1 Money Wars', b'Lupin III: Napoleon no Jisho wo Ubae', b'Lupin III: Otakara Henkyaku Daisakusen!!', b'Lupin III: Ikiteita Majutsushi', b'Lupin III: Pilot Film (1978)', b'Lupin III: Nusumareta Lupin', b'Lupin III: Cagliostro no Shiro', b""Lupin III: Ai no Da Capo - Fujiko's Unlucky Days"", b'Lupin III: Fuuma Ichizoku no Inbou', b'Lupin III: Babylon no Ougon Densetsu', b'Lupin III: Harimao no Zaihou wo Oe!!', b'Lupin III: Lupin vs. Fukusei-ningen', b'Lupin III: Twilight Gemini no Himitsu', b'Lupin III: Honoo no Kioku - Tokyo Crisis', b'Lupin III: Lupin Ansatsu Shirei', b'Lupin III: Walther P38', b'Lupin III: Kiri no Elusive', b'Lupin III: Green vs. Red', b'Lupin III: Seven Days Rhapsody', b'Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan', b'Lupin III: Pilot Film', b'Lupin III vs. Detective Conan', b'Lupin III: The Last Job', b'Lupin III: Chi no Kokuin - Eien no Mermaid', b'Lupin III: Touhou Kenbunroku - Another Page', b'Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi', b'Lupin III: Goodbye Partner', b'Lupin III: The First', b'Lupin III: Prison of the Past', b'Lupin III: Part II', b'Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special', b'Lupin the Third x Monkey Majik', b'Lupin III: Lupin Ikka Seizoroi', b'Lupin Shanshei', b'Lupin the IIIrd: Jigen Daisuke no Bohyou', b'Lupin the IIIrd: Chikemuri no Ishikawa Goemon', b'Lupin the IIIrd: Mine Fujiko no Uso', b'Play the Lupin: Clips x Parts Collection', b'Lupin the Third: Mine Fujiko to Iu Onna', b'Lupin III: Lupin wa Ima mo Moete Iru ka?', b'Lupin VIII']"
animeCharacters	[b'Lupin III, Arsene', b'Jigen, Daisuke', b'Mine, Fujiko', b'Ishikawa XIII, Goemon', b'Zenigata, Kouichi', b'Lupin II', b'Cap', b'Pycal', b'Kamaitachi', b'Mamou, Kyosuke']
animeVoices	[b'\nYamada, Yasuo\nJapanese\n', b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nNikaido, Yukiko\nJapanese\n', b'\nOtsuka, Chikao\nJapanese\n', b'\nNaya, Gorou\nJapanese\n', b'\nKitagawa, Yonehiko\nJapanese\n', b'\nArai, Kazuo\nJapanese\n', b'\nKayumi, Iemasa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahata, Isao\n\nDirector\n\n', b'\nMiyazaki, Hayao\n\nEpisode Director\n\n', b'\nOosumi, Masaaki\n\nEpisode Director\n\n', b'\nYamatoya, Atsushi\n\nScript, Series Composition\n\n']
