animeTitle	Fault!! Service: Aratanaru Rival
animeType	OVA
animeNumEpisode	1
releaseDate	2013-02-22 00:00:00
endDate	
animeNumMembers	11090
animeScore	6.93
animeUsers	4206
animeRank	
animePopularity	5093
animeDescription	"After a tumultuous summer vacation, Shuuichi begins the second school term while under the constant love assault from Ai and Mio. One day the tennis club leader Reiko announced that they will participate in the school festival at the end of the month, which they decided to run a cosplay cafe after much wrangling. Afterwards, she decided that she wanted to run as a candidate for next term's student council. That wasn’t the end of his tumultuous days as a transfer student suddenly appeared in his class...

(Source: AniDB)"
animeRelated	['Fault!!']
animeCharacters	['Date Wingfield, Reiko', 'Kamiwazumi, Maya', 'Sugiyama, Shuuichi']
animeVoices	['Inada, Kenoko', 'Yuzuhara, Miu', 'Natsumura, Isuke']
animeStaff	[['Ishige, Rui', 'Director, Storyboard, 2nd Key Animation, Character Design, Animation Director'], ['Taka, Tony', 'Original Character Design']]
