animeTitle	b'Renou Xueyuan'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'In a certain world bubble, the conflict between the armed dolls and the dead soldiers is never ending. With the conflict between the two escalating, the stability of the world bubble is gradually decreasing. To save the world from collapse, human beings set up a special organization to manage and control the dolls. In order to cover up the dark truth, human specially gave the organization a very cute name: ""Renou Xueyuan"" - ""Doll School"".\n\n\xe2\x80\x94Ahaha, just kidding! How could it possibly be anything like that?\n\n(Source: Official Weibo)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
