animeTitle	Sekai Monoshiri Ryoko
animeType	TV
animeNumEpisode	1006
releaseDate	1971-10-01 00:00:00
endDate	1974-12-31 00:00:00
animeNumMembers	600
animeScore	5.7
animeUsers	170
animeRank	9754
animePopularity	12496
animeDescription	"An educational documentary series that depicts a variety of real life places around the world in short 5 minute segments. The series aired Monday through Saturday.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
