animeTitle	Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	14344
animeRank	
animePopularity	3702
animeDescription	The two part finale of Buddy Complex television series deals with the final battle between the Free Treaty Alliance and the space division of Zogiria, lead by an elderly Bizon, as Earth and time itself hang in the balance.
animeRelated	['Buddy Complex']
animeCharacters	['Yumihara, Hina', 'Watase, Aoba', 'Weinberg Junyou, Dio', 'Gerafil, Bizon', 'Nasu, Mayuka', 'Rossetti, Anessa', 'Vasily, Tarjim', 'Kleinbeck, Lene', 'Kuramitsu, Gengo', 'Junyou, Fiona Weinberg']
animeVoices	['Hayami, Saori', 'Matsuoka, Yoshitsugu', 'Uchiyama, Kouki', 'Sakurai, Takahiro', 'Hanazawa, Kana', 'Inoue, Marina', 'Shimazaki, Nobunaga', 'Fujimura, Ayumi', 'Hayami, Show', 'Yuuki, Aoi']
animeStaff	[['Tanabe, Yasuhiro', 'Director'], ['ChouCho', 'Theme Song Performance'], ['Karasawa, Miho', 'Theme Song Lyrics, Theme Song Performance, Inserted Song Performance'], ['Katou, Tatsuya', 'Music']]
