animeTitle	Shigofumi: Sore kara
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	9078
animeRank	
animePopularity	4412
animeDescription	The 13th episode of Shigofumi.
animeRelated	['Shigofumi']
animeCharacters	['Fumika', 'Mikawa, Fumika', 'Chiaki', 'Kanaka', 'Matoma', 'Nojima, Kaname', 'Kasai, Natsuka', 'Shinozaki, Suzune']
animeVoices	['Ueda, Kana', 'Asano, Masumi', 'Matsuoka, Yuki', 'Katou, Masayuki', 'Terashima, Takuma', 'Chiba, Saeko', 'Horie, Yui']
animeStaff	[['ALI PROJECT', 'Theme Song Performance'], ['Morikawa, Eiko', 'Sound Effects'], ['Itou, Youko', 'Key Animation'], ['Kawakami, Tetsuya', 'Chief Animation Director, Character Design']]
