animeTitle	b'Afro Samurai: Resurrection'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	52588
animeRank	
animePopularity	
animeDescription	b'After obtaining the Number One headband, which proclaims him to be the best of all warriors, Afro spends most of his days in peace, though his nightmare-filled nights are not so tranquil. His life crescendos into chaos once again when Jinno and Sio, his former friends from long ago, take the headband from him, as well as the remains of his father. Challenged by Sio to don the Number Two headband again and exact revenge on them for their actions, Afro embarks on another journey as the wearer of said headband\xe2\x80\x94an item for which anyone would kill him.\n\nAfro Samurai: Resurrection follows Afro as he fights a second series of battles against all manner of foes, wading through the sea of corpses in his wake so that he may once again quench his never-ending thirst for revenge.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Afro Samurai', b'Afro Samurai Movie']
animeCharacters	[b'Samurai, Afro', b'Sio', b'Ninja Ninja', b'Jinno', b'Shichigoro', b'Brother One', b'Rukotaro', b'Bin']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKizaki, Fuminori\n\nDirector\n\n', b'\nOkazaki, Takashi\n\nScript, Original Creator\n\n', b'\nRZA\n\nTheme Song Performance, Music\n\n', b'\nVan seijen, Thea\n\nTheme Song Performance\n\n']
