animeTitle	Minamo
animeType	Movie
animeNumEpisode	1
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	269
animeScore	
animeUsers	
animeRank	12056
animePopularity	15002
animeDescription	Mizue set up a camera over a water tray with an illuminated white background (presumably an animation table) and experimented with the flow of aqueous ink over the surface of the water using stop motion animation techniques.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
