animeTitle	b'Panda no Daibouken'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	223
animeRank	
animePopularity	
animeDescription	b'This movie, another from the older production from Toei Animetion for children, follows the adventures from a little panda that leaves his current family and wants to travel.'
animeRelated	[]
animeCharacters	[b'Narrator']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Lyrics\n\n', b'\nMori, Yasuji\n\nKey Animation\n\n', b'\nNoda, Takuo\n\nKey Animation\n\n', b'\nYamaura, Hiroyasu\n\nScreenplay\n\n']
