animeTitle	Plawres Sanshirou
animeType	TV
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	1017
animeRank	
animePopularity	8197
animeDescription	"Plawres is a wrestling game that the players make their robots, which are about 30 cm tall, fight in the ring. The main character, Sugata Sanshiro, is a plawres player. Using his plawrestler, Juohmaru, he beats strong rivals.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sugata, Sanshirou', 'Fubuki, Kyouko', 'Misty, Sheila', 'Sugata, Kaoru', 'Murao, Shinji', 'Hasegawa, Tetsuya', 'Sasamoto, Satoru', 'Narita, Shinogu', 'Sugata, Machiko', 'Sugata, Kennosuke']
animeVoices	['Majima, Satomi', 'Andou, Arisa', 'Inoue, You', 'Inose, Akiko', 'Shiozawa, Kaneto', 'Tatsuta, Naoki', 'Mori, Katsuji', 'Furuya, Toru', 'Honda, Chieko', 'Shibata, Hidekatsu']
animeStaff	[['Yuyama, Kunihiko', 'Director, Episode Director, Storyboard'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Fujikawa, Keisuke', 'Script, Screenplay, Series Composition'], ['Terada, Kenji', 'Script']]
