animeTitle	b'Break Blade'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	32931
animeRank	
animePopularity	
animeDescription	"b'In the continent of Cruzon, an impending war between the Kingdom of Krisna and the nation of Athens is brimming. The people of this land are able to use quartz for whatever purpose they desire. Yet one person, Rygart Arrow, is not. He is an ""un-sorcerer,"" a person unable to use quartz. But this characteristic will enable him to pilot an ancient Golem, one strong enough to put up a fight against the invading army of Athens.'"
animeRelated	[b'Break Blade', b'Break Blade 1: Kakusei no Toki', b'Break Blade 2: Ketsubetsu no Michi', b'Break Blade 3: Kyoujin no Ato', b'Break Blade 4: Sanka no Chi', b'Break Blade 5: Shisen no Hate', b'Break Blade 6: Doukoku no Toride', b'Break Blade: Virgins War']
animeCharacters	[b'Arrow, Rygart', b'Erster, Sigyn', b'Zess', b'Hodr', b'Girge', b'Zaubraff, Cleo', b'Stryze, Narvi', b'Borcuse', b'True', b'Baldr']
animeVoices	[b'\nHoshi, Souichirou\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nHabara, Nobuyoshi\n\nDirector\n\n', b'\nSogo, Masashi\n\nScript\n\n', b'\nTanimura, Daishiro\n\nScript\n\n']
