animeTitle	b'Puchitto Gargantia'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	4684
animeRank	
animePopularity	
animeDescription	"b""Short episodes streamed on the anime's official site after every episode, giving background information about the show."""
animeRelated	[b'Suisei no Gargantia', b'Puchitto Gargantia: Marumaru no Gargantia']
animeCharacters	[b'Ledo', b'Chamber', b'Amy', b'Bellows', b'Melty', b'Saaya', b'Pinion', b'Rackage', b'Ridget']
animeVoices	[b'\nIshikawa, Kaito\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nKanemoto, Hisako\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nTsunematsu, Ayumi\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAshina, Minoru\n\nDirector\n\n']
