animeTitle	dMatsu-san
animeType	ONA
animeNumEpisode	12
releaseDate	2018-01-09 00:00:00
endDate	2018-03-27 00:00:00
animeNumMembers	
animeScore	6.14
animeUsers	160
animeRank	
animePopularity	9704
animeDescription	"The short series will be divided into two arcs. The ""Totoko x Muttsugo"" (Totoko x Sextuplets) arc will feature the six brothers having conversations with Totoko, who will be depicted as ""a certain princess."" This story will have six ""versions,"" one for each brother. The ""Iyami x Muttsugo"" (Iyami x Sextuplets) arc will feature the six brothers and their everyday life with Iyami. It will also have six ""versions,"" one for each brother. 

(Source: ANN)"
animeRelated	['Osomatsu-san 2nd Season']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Yowai, Totoko']
animeVoices	[]
animeStaff	[['Akatsuka, Fujio', 'Original Creator']]
