animeTitle	b'Saki Zenkoku-hen'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	13641
animeRank	
animePopularity	
animeDescription	"b""Saki Miyanaga, along with the rest of Kiyosumi High School's mahjong team, proceeds to the national level of the Interhigh Mahjong Championship. However, reaching the top will prove difficult as she faces opponents on par with and, quite possibly, exceeding her skills. Even so, she refuses to back down, vowing to stop at nothing to fulfill her goal: to see her sister face-to-face once more.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Saki', b'Saki Achiga-hen: Episode of Side-A', b'Saki Achiga-hen: Episode of Side-A Specials']
animeCharacters	[b'Miyanaga, Saki', b'Takei, Hisa', b'Haramura, Nodoka', b'Kataoka, Yuuki', b'Someya, Mako', b'Amae, Koromo', b'Fukuji, Mihoko', b'Miyanaga, Teru', b'Touyoko, Momoko', b'Takakamo, Shizuno']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nFukuhara, Kaori\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nSaitou, Momoko\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuura, Hiroaki\n\nProducer\n\n', b'\nOno, Manabu\n\nDirector\n\n', b'\nIwata, Kazuya\n\nEpisode Director\n\n', b'\nUrahata, Tatsuhiko\n\nScript, Series Composition\n\n']
