animeTitle	Hime Dorei
animeType	OVA
animeNumEpisode	2
releaseDate	2008-06-25 00:00:00
endDate	2008-10-25 00:00:00
animeNumMembers	4160
animeScore	6.02
animeUsers	1350
animeRank	
animePopularity	7529
animeDescription	"There is the Luvence Kingdom in the northern part of continent, which takes full control of the region. The king has beautiful twin sisters, Tita and Liese. And he decides to give Tita the heir to the throne. Liese gets so mad to hear that, and starts to hate Tita. One day, a man, Waldo, comes to the kingdom. He is a magician, and his country was destroyed by the Luvence army. His purpose is to take revenge on them. Waldo and Liese meet by chance. A man who plans to take revenge on the kingdom and a girl who hates Tita.... Their revenge just begins....

(Source: Saishuu.com)
"
animeRelated	['Hime Dorei: Mesu e to Ochiyuku Futago no Oujo']
animeCharacters	['Mirelle', 'Luvence, Liese', 'Luvence, Tita', 'Waldo', 'Ester']
animeVoices	['Ookubo, Aiko']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Nagai, Shinpei', 'Director, Episode Director, Assistant Animation Director, Color Design, Animation Director'], ['Kobayashi, Mamoru', 'Character Design']]
