animeTitle	Captain
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13663
animeDescription	Before Captain became a TV series it was a one-shot TV special that garnered the highest ratings of any anime that month. For its re-run on August 20th, 30 minutes of new content was added in which brought in more ratings that trumped the previous statistic.
animeRelated	['Captain (TV)']
animeCharacters	['Marui', 'Igarashi', 'Taniguchi, Takao', 'Koyama', 'Matsushita']
animeVoices	[]
animeStaff	[['Kiyoyama, Shigetaka', 'Animation Director']]
