animeTitle	Duel Masters VSRF
animeType	TV
animeNumEpisode	51
releaseDate	2016-04-03 00:00:00
endDate	2017-03-26 00:00:00
animeNumMembers	1177
animeScore	5.47
animeUsers	163
animeRank	10472
animePopularity	10732
animeDescription	"It is the sequel of Versus Revolution, continuing the chain of events after the battle between the Invaders and Revolutionary. It is also the last season and conclusion of the Versus saga in the anime

The 'V' mark that was once on Katta Kirifuda's forehead hides a mysterious force. However, the power was sealed off.

Even though the impact of removing the seal does not do much, but Hamukatsu starts to talk! Plus more hamsters that are like Hamukatsu starts to appear!

They were then told about a secret organization, the ""Rare Killers"", with the members being transfer students of the school! What is the mystery of the hamsters like Hamukatsu and who exactly are the Rare Killers?

The final battle is about to start! 

(Source: Duel Masters Wikia)"
animeRelated	['Duel Masters VSR', 'Duel Masters (2017)', '40 Shuunen Da yo!! CoroCoro All-Star Shougakkou']
animeCharacters	['Kirifuda, Katta', 'Okabe, Tarou', 'Takigawa, Ruru', 'Duemouse', 'Ochanomizu, Hiroshi', 'Akagiyama, Basara', 'Lucifer', 'Buke, Chatarou', 'Norimaki']
animeVoices	['Kobayashi, Yumiko', 'Sugawara, Masayoshi', 'Tange, Sakura', 'Kobayashi, Yuu', 'Sugiyama, Noriaki', 'Fukushima, Jun', 'Mizusawa, Fumie', 'Ishino, Ryuuzou', 'Ishida, Akira']
animeStaff	[['Pile', 'Theme Song Performance'], ['An Cafe', 'Theme Song Performance'], ['Pyxis', 'Theme Song Performance'], ['Hayabusa', 'Theme Song Performance']]
