animeTitle	Lupin III: Twilight Gemini no Himitsu
animeType	Special
animeNumEpisode	1
releaseDate	1996-08-02 00:00:00
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	2739
animeRank	
animePopularity	6394
animeDescription	"A dying mob boss entrusts Lupin with a diamond that supposedly is the key to a vast treasure. But when Lupin is attacked by an assassin and saves a mysterious girl from trouble, it becomes clear that that there's more to this treasure then meets the eye... 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Sadachiyo', 'Lara', 'Jean Pierre', 'Hikari', 'Captain']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Nozawa, Nachi', 'Hisakawa, Aya', 'Sugou, Takayuki', 'Kitamura, Kouichi', 'Fujimoto, Yuzuru']
animeStaff	[['Watson, Barry', 'Producer'], ['Sugii, Gisaburou', 'Director, Storyboard, Screenplay'], ['Vale, Eric', 'Script'], ['Burgmeier, John', 'Script']]
