animeTitle	Blue Giant
animeType	Movie
animeNumEpisode	1
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	402
animeScore	
animeUsers	
animeRank	
animePopularity	19114
animeDescription	"""I will definitely become the world's best Jazz player!""

Blue Giant follows Dai Miyamoto, who is a member of the basketball club. While attending junior high school one day, a friend takes him to a live jazz performance, which inspires him deeply. Thereafter, he begins practicing the tenor saxophone by himself, without the ability to read sheet music.

Rain or shine, day or night, Dai continues to practice. During his first performance, he is criticized by the audience, however, Dai passionately blows away at his saxophone. A tale of reaching his goal recklessly and sincerely begins.

(Source: MAL News)"
animeRelated	['Blue Giant']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
