animeTitle	b'Road to You'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	2351
animeRank	
animePopularity	
animeDescription	"b""Commercials by Dunlop Tyres Japan for their Winter Maxx tire line.\n\nEpisode 1 (Kimi e to Tsuzuku Michi) (The Road That Goes on to You): The anime short's story is set in a certain snowy land and centers on the intermingling feelings of three groups of men and women: a couple, a parent and child, and coworkers.\n\nEpisode 2 (Hoshifuru Oka no Yakusoku) (Promise of the Starry Hill): College student Yui was suddenly invited by her mother to visit an observatory on her 20th birthday. Yui has to travel along snow-covered roads to reach the observatory. The visit makes Yui remember going to the same observatory with her late father on every birthday when she was a small child.\n\nEpisode 3 (Kioku ni Mau Konayuki) (The Snow that Dances in Memories): Tells a tragic teen love story about two childhood friends who fall in love only to part ways when the girl decides to study abroad in France."""
animeRelated	[b'Quote']
animeCharacters	[b'Woman', b'Hiiragi, Yui', b'Man', b'Yuki', b'Ryouta', b'Hiiragi, Miyuki', b'Hiiragi, Yuuto', b'Jin', b'Kei', b'Mai']
animeVoices	[b'\nTakahashi, Rie\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nYonai, Yuki\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nTsuda, Minami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuo, Kou\n\nDirector\n\n', b'\nKawamata, Hiroshi\n\nDirector\n\n', b'\nShinoda, Toshitaka\n\nDirector\n\n', b'\nKAF\n\nTheme Song Performance\n\n']
