animeTitle	Junkers Come Here: Memories of You
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13428
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Junkers Come Here']
animeCharacters	['Junkers']
animeVoices	[]
animeStaff	[['Satou, Junichi', 'Director'], ['Nakamura, Ryuutarou', 'Storyboard'], ['Oohashi, Manabu', 'Key Animation, Original Character Design'], ['Maeda, Minoru', 'Character Design']]
