animeTitle	Muumindani no Suisei
animeType	Movie
animeNumEpisode	1
releaseDate	1992-08-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.69
animeUsers	4244
animeRank	
animePopularity	5658
animeDescription	"Unusual things have been happening in Moominvalley. Moomin, Sniff and Mee leave for the Observatory on the Lonely Mountains to confirm the Muskrat's words: a comet is about to hit Moominvalley and destroy everything. On the way they meet Snufkin, the Hemulen and the Snorks and experience many adventures. 

(Source: ANN)"
animeRelated	['Tanoshii Muumin Ikka']
animeCharacters	['Snufkin', 'Moomintroll', 'Little My', 'Moominpappa', 'Moominmamma', 'Sniff', 'Floren', 'Stinky', 'Hemulen', 'Muskrat']
animeVoices	['Koyasu, Takehito', 'Takayama, Minami', 'Sakuma, Rei', 'Ootsuka, Akio', 'Tani, Ikuko', 'Nakao, Ryusei', 'Kanai, Mika']
animeStaff	[['Saitou, Hiroshi', 'Director, Storyboard, Key Animation'], ['Miyazaki, Akira', 'Script'], ['Shiratori, Emiko', 'Theme Song Performance, Inserted Song Performance'], ['Zornitzer, Shai', 'Theme Song Performance']]
