animeTitle	Dan Zhu Chuan Shuo
animeType	TV
animeNumEpisode	52
releaseDate	2010-09-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18375
animeDescription	"Pinball Legend is a cartoon TV show on CCTV Shaoer Channel. It is based on five protagonists named Hai Xiaomei, Duo Jieke, Ouyang Xiaofeng, Lei Huo, and Da Li. They fight a vampire ghost named Earl using ""Holy Pinball Fighters."" There are 52 episodes, each episode running at 22 minutes long, including the opening theme and the ending theme.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
