animeTitle	Joshidai: Ecchi Soudanshitsu
animeType	OVA
animeNumEpisode	1
releaseDate	2001-12-15 00:00:00
endDate	
animeNumMembers	
animeScore	4.37
animeUsers	507
animeRank	
animePopularity	10142
animeDescription	"Madoka goes to her counselor for advice on her classes, and the help she is given will take her to a new place of erotic heights. Watch these girls embark on a path of forbidden love.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
