animeTitle	Qin Shi Ming Yue: Bai Bu Fei Jian
animeType	TV
animeNumEpisode	10
releaseDate	2007-02-14 00:00:00
endDate	2007-02-23 00:00:00
animeNumMembers	
animeScore	6.31
animeUsers	466
animeRank	
animePopularity	8309
animeDescription	Set during the Qin Dynasty in ancient China, a brave assassin attempts to kill the Emperor to save his homeland. However, the assassin fails and in retaliation, the Emperor sends his troops to kill his eight year old son. A highly skilled swordsman intervenes and rescues the boy. After their escape from the forces of the Emperor, they embark on a journey to change the destiny of the empire while encountering several friends and foes along the way. 
animeRelated	['Qin Shi Ming Yue: Ye Jin Tianming', 'Qin Shi Mingyue Zhi Jingke Waizhuan', 'Qin Shi Ming Yue 3D: Dianying Longteng Wanli', 'Qin Shi Ming Yue: Kong Shan Niao Yu', 'Qin Shi Ming Yue Zhi: Luosheng Tangxia', 'Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi', 'Qin Shi Ming Yue: Tian Xing Jiu Ge']
animeCharacters	['Jing, Tianming', 'Ge, Nie', 'Wei, Zhuang', 'Duanmu, Rong', 'Baifeng ', 'Ying, Zheng', 'Chilian', 'Li, Si', 'Gao, Yue', 'Xiang, ShaoYu']
animeVoices	[]
animeStaff	[]
