animeTitle	Crimson Girls: Chikan Shihai
animeType	OVA
animeNumEpisode	3
releaseDate	2012-05-25 00:00:00
endDate	2015-09-20 00:00:00
animeNumMembers	7614
animeScore	6.38
animeUsers	2965
animeRank	
animePopularity	5924
animeDescription	"The Crimson Girls protect women from train molesters. Mitsu, one of the two members, caught the attention of a unique man who could make a woman orgasm with just a touch. He and some of his friends trap Mitsu on the train and brought her to the hotel where she was tortured and had her virginity taken. Now that one of the Crimson Girls has succumbed to his will, his next target is Saki…

(Source: HentaiTake)"
animeRelated	[]
animeCharacters	['Kuroha, Mitsu', 'Sakura, Nozomi']
animeVoices	[]
animeStaff	[['Crimson', 'Original Creator'], ['Sakurai, Masaaki', 'Chief Animation Director, Character Design']]
