animeTitle	Waver
animeType	OVA
animeNumEpisode	3
releaseDate	2001-09-21 00:00:00
endDate	2002-04-25 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	1175
animeRank	
animePopularity	8130
animeDescription	"Somewhere, there is a forbidden mansion, a house of unspeakable erotic pleasures. Behind each door, a beautiful woman lies in wait for a man's touch. But these voluptuous vixens have an appetite for pain and punishment that compels even the strongest to beg for mercy! What man can withstand the unbearable pleasure, and rule the harem as his own? 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Chicko', 'Kurashiki, Yasue', 'Sugihara, Yukiyo', 'Kurashiki, Anna', 'Ogawa, Yoshino', 'Shinjo, Tamao']
animeVoices	['Saito, Kai']
animeStaff	[['Awai, Shigeki', 'Director, Character Design'], ['Abukawa, Yasuyuki', 'Color Design']]
