animeTitle	Bokura wa Minna Kawai-sou: Hajimete no
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	23790
animeRank	
animePopularity	2687
animeDescription	Unaired episode included in the 7th Blu-ray/DVD volume of Bokura wa Minna Kawaisou anime.
animeRelated	['Bokura wa Minna Kawai-sou']
animeCharacters	['Kawai, Ritsu', 'Usa, Kazunari', 'Shirosaki, Shizuru', 'Nishikino, Mayumi', 'Watanabe, Sayaka', 'Kawai, Sumiko', 'Tagami', 'Hayashi', 'Shinohara, Tae']
animeVoices	['Hanazawa, Kana', 'Iguchi, Yuuichi', 'Shinomiya, Gou', 'Satou, Rina', 'Kanemoto, Hisako', 'Kobayashi, Sanae', 'Sakai, Shunsuke', 'Numakura, Manami', 'Kaida, Yuki']
animeStaff	[['Hanazawa, Kana', 'Theme Song Performance'], ['Satou, Rina', 'Theme Song Performance'], ['Kanemoto, Hisako', 'Theme Song Performance'], ['fhána', 'Theme Song Performance']]
