animeTitle	Cyborg 009: Chou Ginga Densetsu
animeType	Movie
animeNumEpisode	1
releaseDate	1980-12-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	592
animeRank	
animePopularity	9264
animeDescription	"The cyborgs are no longer on duty, they live normal lives until a mysterious space ship lands on earth. The only survivor on the ship warns about an evil conqueror called Zoa that wants to conquer the universe, which means the cyborgs are back in action...
(Source: ANN)"
animeRelated	['Cyborg 009', 'Cyborg 009 (1979)']
animeCharacters	['Shimamura, Joe', 'Arnoul, Françoise', 'Great Britain', 'Pyunma', 'Geronimo Jr.', 'Gilmore, Isaac', 'Changku, Chang', 'Saba']
animeVoices	['Inoue, Kazuhiko']
animeStaff	[['Machida, Yoshito', 'Theme Song Performance, Inserted Song Performance'], ['Ishinomori, Shoutarou', 'Original Creator'], ['Sugiyama, Koichi', 'Music'], ['Ebisawa, Kazuo', 'Art Director']]
