animeTitle	Bokusatsu Tenshi Dokuro-chan 2
animeType	OVA
animeNumEpisode	2
releaseDate	2007-08-11 00:00:00
endDate	2007-11-10 00:00:00
animeNumMembers	
animeScore	6.67
animeUsers	60128
animeRank	
animePopularity	1644
animeDescription	"Only more bizarre, troublesome, and funny adventures await Sakura Kusakabe as he continues living with the angel sisters Dokuro and Zakuro Mitsukai. More angels, including the polite Sabato Mihashigo and the quirky Zansu, show up to join in on the crazy situations. More often than not, their antics lead to Dokuro and her trusty Excalibolg killing Sakura, turning him into a bloody pulp.

[Written by MAL Rewrite]"
animeRelated	['Bokusatsu Tenshi Dokuro-chan']
animeCharacters	['Mitsukai, Dokuro', 'Kusakabe, Sakura', 'Ichiro, Binkan', 'Mitsukai, Zakuro', 'Mihashigo, Sabato', 'Zansu', 'Minagami, Shizuki', 'Minami-san', 'Mihashigo, Babel']
animeVoices	['Chiba, Saeko', 'Takagi, Reiko', 'Iwata, Mitsuo', 'Watanabe, Akeno', 'Kugimiya, Rie', 'Tobita, Nobuo', 'Kawasumi, Ayako', 'Ohara, Sayaka']
animeStaff	[['Mizushima, Tsutomu', 'Director, Script, Theme Song Lyrics, Theme Song Composition'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Chiba, Saeko', 'Theme Song Performance'], ['Okayu, Masaki', 'Original Creator']]
