animeTitle	b'Cyborg 009 VS Devilman'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	6266
animeRank	
animePopularity	
animeDescription	b'After discovering the existence of demons in Tokyo, the original Cyborg crew led by Dr. Gilmore find themselves in conflict with Devilman, a strong demon believed to be in league with the war-profiteering terrorist organisation, Black Ghost. Meanwhile, a bigger threat emerges when Dr. Adams, a Black Ghost scientist unleashes his new line of high teen Cyborg models against 009 and his friends.\n\n(Source: ANN)'
animeRelated	[b'Cyborg 009 VS Devilman: Breakdown', b'Devilman', b'Cyborg 009 (1979)']
animeCharacters	[b'Asuka, Ryou', b'Fudou, Akira', b'Devilman', b'Makimura, Miki', b'Shimamura, Joe', b'Heinrich, Albert', b'Link, Jet', b'Arnoul, Fran\xc3\xa7oise', b'Great Britain', b'Whisky, Ivan']
animeVoices	[b'\nHino, Satoshi\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nTouchi, Hiroki\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n', b'\nShiraishi, Haruka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawagoe, Jun\n\nDirector, Storyboard\n\n', b'\nNakano, Tooru\n\nSound Director\n\n', b'\nHayakawa, Tadashi\n\nScript, Series Composition\n\n', b'\nJAM Project\n\nTheme Song Performance\n\n']
