animeTitle	Papa no Iukoto wo Kikinasai! OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2013-06-25 00:00:00
endDate	2015-03-25 00:00:00
animeNumMembers	
animeScore	7.36
animeUsers	20475
animeRank	
animePopularity	3029
animeDescription	Limited edition episode included with pre-orders for the 13th and 18th light novel volumes.
animeRelated	['Papa no Iukoto wo Kikinasai!: Pokkapoka']
animeCharacters	['Takanashi, Hina', 'Takanashi, Sora', 'Takanashi, Miu', 'Segawa, Yuuta', 'Oda, Raika', 'Nimura, Kouichi', 'Takanashi, Yuri', 'Kitahara, Shiori', 'Gagarina, Sasha Ilyinichna', 'Sako, Shuntarou']
animeVoices	['Igarashi, Hiromi', 'Uesaka, Sumire', 'Kitamura, Eri', 'Hatano, Wataru', 'Horie, Yui', 'Ono, Daisuke', 'Ohara, Sayaka', 'Iguchi, Yuka', 'Okamura, Akemi', 'Majima, Junji']
animeStaff	[['Kawasaki, Itsurou', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Kuzuya, Naoyuki', 'Episode Director'], ['Arakawa, Naruhisa', 'Script']]
